,year,name,href,type,boxoffice,mean_price,mean_people,times
146,2013,风暴,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=614346,动作,30828,39,23,2013-12-12
147,2013,天机·富春山居图,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=593283,动作,30032,39,24,2013-06-09
148,2013,小时代2：青木时代,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=616735,爱情,29590,31,29,2013-08-08
149,2013,一代宗师,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573880,动作,28784,36,25,2013-01-08
150,2014,变形金刚4：绝迹重生,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=612232,科幻,197751,42,50,2014-06-27
151,2014,心花路放,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=618111,喜剧,116934,34,36,2014-09-30
152,2014,西游记之大闹天宫,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589349,魔幻,104549,42,40,2014-01-31
153,2014,星际穿越,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=346481,科幻,75532,36,34,2014-11-12
154,2014,X战警：逆转未来,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=620389,科幻,72296,37,29,2014-05-23
155,2014,美国队长2：冬日战士,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=622647,动作,71853,39,29,2014-04-04
156,2014,猩球崛起2：黎明之战,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=624046,科幻,70922,37,28,2014-08-29
157,2014,爸爸去哪儿,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=619293,剧情,69628,32,41,2014-01-31
158,2014,分手大师,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=618253,喜剧,66540,33,34,2014-06-27
159,2014,后会无期,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=625897,爱情,62881,32,34,2014-07-24
